,pokedex_number,Number,name,attack,defense,sp_attack,sp_defense,speed,hp,base_total,base_egg_steps,base_happiness,capture_rate,experience_growth,generation,is_legendary,Total Fights,Win Percentage,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,bug2,dark2,dragon2,electric2,fairy2,fighting2,fire2,flying2,ghost2,grass2,ground2,ice2,none,normal2,poison2,psychic2,rock2,steel2,water2
111,112,121.0,Rhydon,130,120,45,45,40,105,485,5120,70,60,1250000,1,0,108.0,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,113,122.0,Chansey,5,5,35,105,50,250,450,10240,140,30,800000,1,0,98.0,0.15306122448979592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,114,123.0,Tangela,55,115,100,40,60,65,435,5120,70,45,1000000,1,0,129.0,0.3798449612403101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,115,124.0,Kangaskhan,125,100,60,100,100,105,590,5120,70,45,1000000,1,0,126.0,0.753968253968254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,116,126.0,Horsea,40,70,70,25,60,30,295,5120,70,225,1000000,1,0,133.0,0.41353383458646614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,117,127.0,Seadra,65,95,95,45,85,55,440,5120,70,75,1000000,1,0,118.0,0.6610169491525424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,118,128.0,Goldeen,67,60,35,50,63,45,320,5120,70,225,1000000,1,0,117.0,0.5128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,119,129.0,Seaking,92,65,65,80,68,80,450,5120,70,60,1000000,1,0,114.0,0.4824561403508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,120,130.0,Staryu,45,55,70,55,85,30,340,5120,70,225,1250000,1,0,142.0,0.5633802816901409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,121,131.0,Starmie,75,85,100,85,115,60,520,5120,70,60,1250000,1,0,129.0,0.8992248062015504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,122,132.0,Mr. Mime,45,65,100,120,90,40,460,6400,70,45,1000000,1,0,136.0,0.5588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,123,133.0,Scyther,110,80,55,80,105,70,500,6400,70,45,1000000,1,0,141.0,0.8794326241134752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,124,134.0,Jynx,50,35,115,95,95,65,455,6400,70,45,1000000,1,0,135.0,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,125,135.0,Electabuzz,83,57,95,85,105,65,490,6400,70,45,1000000,1,0,129.0,0.8914728682170543,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,126,136.0,Magmar,95,57,100,85,93,65,495,6400,70,45,1000000,1,0,129.0,0.7441860465116279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,127,137.0,Pinsir,155,120,65,90,105,65,600,6400,70,45,1250000,1,0,124.0,0.6532258064516129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,128,139.0,Tauros,100,95,40,70,110,75,490,5120,70,45,1250000,1,0,117.0,0.8717948717948718,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,129,140.0,Magikarp,10,55,15,20,80,20,200,1280,70,255,1250000,1,0,139.0,0.17985611510791366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,130,141.0,Gyarados,155,109,70,130,81,95,640,1280,70,45,1250000,1,0,133.0,0.6165413533834586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,131,143.0,Lapras,85,80,85,95,60,130,535,10240,70,45,1250000,1,0,139.0,0.43884892086330934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,133,145.0,Eevee,55,50,45,65,55,55,325,8960,70,45,1000000,1,0,99.0,0.37373737373737376,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,134,146.0,Vaporeon,65,60,110,95,65,130,525,8960,70,45,1000000,1,0,132.0,0.5227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,135,147.0,Jolteon,65,60,110,95,130,65,525,8960,70,45,1000000,1,0,134.0,0.9253731343283582,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,136,148.0,Flareon,130,60,95,110,65,65,525,8960,70,45,1000000,1,0,132.0,0.5303030303030303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,137,149.0,Porygon,60,70,85,75,40,65,395,5120,70,45,1000000,1,0,128.0,0.1796875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,138,150.0,Omanyte,40,100,90,55,35,35,355,7680,70,45,1000000,1,0,128.0,0.1796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,139,151.0,Omastar,60,125,115,70,55,70,495,7680,70,45,1000000,1,0,138.0,0.35507246376811596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,140,152.0,Kabuto,80,90,55,45,55,30,355,7680,70,45,1000000,1,0,142.0,0.4295774647887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,141,153.0,Kabutops,115,105,65,70,80,60,495,7680,70,45,1000000,1,0,110.0,0.7181818181818181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,142,154.0,Aerodactyl,135,85,70,95,150,80,615,8960,70,45,1250000,1,0,141.0,0.9645390070921985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,143,156.0,Snorlax,110,65,65,110,30,160,540,10240,70,25,1250000,1,0,112.0,0.35714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,144,157.0,Articuno,85,100,95,125,85,90,580,20480,35,3,1250000,1,1,139.0,0.6834532374100719,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,145,158.0,Zapdos,90,85,125,90,100,90,580,20480,35,3,1250000,1,1,121.0,0.768595041322314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,146,159.0,Moltres,100,90,125,85,90,90,580,20480,35,3,1250000,1,1,136.0,0.7352941176470589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,147,160.0,Dratini,64,45,50,50,50,41,300,10240,35,45,1250000,1,0,117.0,0.36752136752136755,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,148,161.0,Dragonair,84,65,70,70,70,61,420,10240,35,45,1250000,1,0,116.0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,149,162.0,Dragonite,134,95,100,100,80,91,600,10240,35,45,1250000,1,0,138.0,0.6304347826086957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,150,163.0,Mewtwo,150,70,194,120,140,106,780,30720,0,3,1250000,1,1,164.0,0.926829268292683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,151,166.0,Mew,100,100,100,100,100,100,600,30720,100,45,1059860,1,1,113.0,0.831858407079646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,152,167.0,Chikorita,49,65,49,65,45,45,318,5120,70,45,1059860,2,0,120.0,0.275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152,153,168.0,Bayleef,62,80,63,80,60,60,405,5120,70,45,1059860,2,0,113.0,0.4336283185840708,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,154,169.0,Meganium,82,100,83,100,80,80,525,5120,70,45,1059860,2,0,129.0,0.6821705426356589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,155,170.0,Cyndaquil,52,43,60,50,65,39,309,5120,70,45,1059860,2,0,121.0,0.5041322314049587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,156,171.0,Quilava,64,58,80,65,80,58,405,5120,70,45,1059860,2,0,151.0,0.609271523178808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,157,172.0,Typhlosion,84,78,109,85,100,78,534,5120,70,45,1059860,2,0,116.0,0.8620689655172413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,158,173.0,Totodile,65,64,44,48,43,50,314,5120,70,45,1059860,2,0,132.0,0.2196969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,159,174.0,Croconaw,80,80,59,63,58,65,405,5120,70,45,1059860,2,0,136.0,0.4411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,160,175.0,Feraligatr,105,100,79,83,78,85,530,5120,70,45,1059860,2,0,138.0,0.5869565217391305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,161,176.0,Sentret,46,34,35,45,20,35,215,3840,70,255,1000000,2,0,125.0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,162,177.0,Furret,76,64,45,55,90,85,415,3840,70,90,1000000,2,0,138.0,0.6739130434782609,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,163,178.0,Hoothoot,30,30,36,56,50,60,262,3840,70,255,1000000,2,0,111.0,0.32432432432432434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,164,179.0,Noctowl,50,50,86,96,70,100,452,3840,70,90,1000000,2,0,136.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,165,180.0,Ledyba,20,30,40,80,55,40,265,3840,70,255,800000,2,0,123.0,0.22764227642276422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,166,181.0,Ledian,35,50,55,110,85,55,390,3840,70,90,800000,2,0,137.0,0.6277372262773723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
166,167,182.0,Spinarak,60,40,40,40,30,40,250,3840,70,255,800000,2,0,137.0,0.0948905109489051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,169,184.0,Crobat,90,80,70,80,130,85,535,3840,70,90,1000000,2,0,122.0,0.9262295081967213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
169,170,185.0,Chinchou,38,38,56,56,67,75,330,5120,70,190,1250000,2,0,114.0,0.5263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,171,186.0,Lanturn,58,58,76,76,67,125,460,5120,70,75,1250000,2,0,128.0,0.515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,172,187.0,Pichu,40,15,35,35,60,20,205,2560,70,190,1000000,2,0,105.0,0.34285714285714286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,173,188.0,Cleffa,25,28,45,55,15,50,218,2560,140,150,800000,2,0,112.0,0.0625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,174,189.0,Igglybuff,30,15,40,20,15,90,210,2560,70,170,800000,2,0,115.0,0.043478260869565216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,175,190.0,Togepi,20,65,40,65,20,35,245,2560,70,190,800000,2,0,122.0,0.02459016393442623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,176,191.0,Togetic,40,85,80,105,40,55,405,2560,70,75,800000,2,0,127.0,0.23622047244094488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,177,192.0,Natu,50,45,70,45,70,40,320,5120,70,190,1000000,2,0,116.0,0.5517241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,178,193.0,Xatu,75,70,95,70,95,65,470,5120,70,75,1000000,2,0,121.0,0.7272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178,179,194.0,Mareep,40,40,65,45,35,55,280,5120,70,235,1059860,2,0,140.0,0.16428571428571428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,180,195.0,Flaaffy,55,55,80,60,45,70,365,5120,70,120,1059860,2,0,108.0,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,181,196.0,Ampharos,95,105,165,110,45,90,610,5120,70,45,1059860,2,0,119.0,0.3445378151260504,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,182,198.0,Bellossom,80,95,90,100,50,75,490,5120,70,45,1059860,2,0,139.0,0.2158273381294964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182,183,199.0,Marill,20,50,20,50,40,70,250,2560,70,190,800000,2,0,122.0,0.1557377049180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,184,200.0,Azumarill,50,80,60,80,50,100,420,2560,70,75,800000,2,0,128.0,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,185,201.0,Sudowoodo,100,115,30,65,30,70,410,5120,70,65,1000000,2,0,123.0,0.24390243902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,186,202.0,Politoed,75,75,90,100,70,90,500,5120,70,45,1059860,2,0,119.0,0.5462184873949579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186,187,203.0,Hoppip,35,40,35,55,50,35,250,5120,70,255,1059860,2,0,119.0,0.40336134453781514,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,188,204.0,Skiploom,45,50,45,65,80,55,340,5120,70,120,1059860,2,0,119.0,0.5546218487394958,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,189,205.0,Jumpluff,55,70,55,95,110,75,460,5120,70,45,1059860,2,0,135.0,0.8444444444444444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,190,206.0,Aipom,70,55,40,55,85,55,360,5120,70,45,800000,2,0,123.0,0.7073170731707317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
190,191,207.0,Sunkern,30,30,30,30,30,30,180,5120,70,235,1059860,2,0,111.0,0.12612612612612611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,192,208.0,Sunflora,75,55,105,85,30,75,425,5120,70,120,1059860,2,0,142.0,0.1619718309859155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,193,209.0,Yanma,65,45,75,45,95,65,390,5120,70,75,1000000,2,0,125.0,0.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,194,210.0,Wooper,45,45,25,25,15,55,210,5120,70,255,1000000,2,0,125.0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,195,211.0,Quagsire,85,85,65,65,35,95,430,5120,70,90,1000000,2,0,140.0,0.2571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,196,212.0,Espeon,65,60,130,95,110,65,525,8960,70,45,1000000,2,0,142.0,0.823943661971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196,197,213.0,Umbreon,65,110,60,130,65,95,525,8960,35,45,1000000,2,0,127.0,0.5275590551181102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,198,214.0,Murkrow,85,42,85,42,91,60,405,5120,35,30,1059860,2,0,158.0,0.8227848101265823,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,199,215.0,Slowking,75,80,100,110,30,95,490,5120,70,70,1000000,2,0,132.0,0.24242424242424243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,200,216.0,Misdreavus,60,60,85,85,85,60,435,6400,35,45,800000,2,0,133.0,0.631578947368421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200,201,217.0,Unown,72,48,72,48,48,48,336,10240,70,225,1000000,2,0,127.0,0.25984251968503935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,202,218.0,Wobbuffet,33,58,33,58,33,190,405,5120,70,45,1000000,2,0,134.0,0.13432835820895522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,203,219.0,Girafarig,80,65,90,65,85,70,455,5120,70,60,1000000,2,0,128.0,0.578125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,204,220.0,Pineco,65,90,35,35,15,50,290,5120,70,190,1000000,2,0,109.0,0.14678899082568808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204,205,221.0,Forretress,90,140,60,60,40,75,465,5120,70,75,1000000,2,0,123.0,0.3008130081300813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,206,222.0,Dunsparce,70,70,65,65,45,100,415,5120,70,190,1000000,2,0,137.0,0.1897810218978102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
206,207,223.0,Gligar,75,105,35,65,85,65,430,5120,70,60,1059860,2,0,134.0,0.6940298507462687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,208,224.0,Steelix,125,230,55,95,30,75,610,6400,70,25,1000000,2,0,149.0,0.16778523489932887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208,209,226.0,Snubbull,80,50,40,40,30,60,300,5120,70,190,800000,2,0,137.0,0.15328467153284672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209,210,227.0,Granbull,120,75,60,60,45,90,450,5120,70,75,800000,2,0,119.0,0.29411764705882354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,211,228.0,Qwilfish,95,85,55,55,85,65,440,5120,70,45,1000000,2,0,150.0,0.6933333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,212,229.0,Scizor,150,140,65,100,75,70,600,6400,70,25,1000000,2,0,125.0,0.608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,214,232.0,Heracross,185,115,40,105,75,80,600,6400,70,45,1250000,2,0,136.0,0.6911764705882353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,215,234.0,Sneasel,95,55,35,75,115,55,430,5120,35,60,1059860,2,0,113.0,0.9380530973451328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
215,216,235.0,Teddiursa,80,50,50,50,40,60,330,5120,70,120,1000000,2,0,109.0,0.23853211009174313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,218,237.0,Slugma,40,40,70,40,20,40,250,5120,70,190,1000000,2,0,123.0,0.032520325203252036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218,219,238.0,Magcargo,50,120,90,80,30,60,430,5120,70,75,1000000,2,0,124.0,0.07258064516129033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,220,239.0,Swinub,50,40,30,30,50,50,250,5120,70,225,1250000,2,0,133.0,0.2781954887218045,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
220,221,240.0,Piloswine,100,80,60,60,50,100,450,5120,70,75,1250000,2,0,118.0,0.3050847457627119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
